NEXRAD SYSTEM                ,ICAO ,RDA LOCATION        ,RESPONSIBLE WFO ,WFO SID                  ,EQUIP
ABERDEEN                     ,KABR ,ABERDEEN            ,SD              ,ABERDEEN                 ,SD    ,ABR ,RDA
BISMARCK                     ,KBIS ,BISMARCK            ,ND              ,BISMARCK                 ,ND    ,BIS ,RDA
DENVER                       ,KFTG ,FRONT RANGE AP      ,CO              ,DENVER/BOULDER           ,CO    ,BOU ,RDA
DES MOINES                   ,KDMX ,JOHNSTON            ,IA              ,DES MOINES               ,IA    ,DMX ,RDA
DETROIT                      ,KDTX ,WHITE LAKE          ,MI              ,DETROIT                  ,MI    ,DTX ,RDA
DODGE CITY                   ,KDDC ,DODGE CITY          ,KS              ,DODGE CITY               ,KS    ,DDC ,RDA
DULUTH                       ,KDLH ,DULUTH              ,MN              ,DULUTH                   ,MN    ,DLH ,RDA
CHEYENNE                     ,KCYS ,CHEYENNE            ,WY              ,CHEYENNE                 ,WY    ,CYS ,RDA
CHICAGO                      ,KLOT ,ROMEOVILLE          ,IL              ,CHICAGO                  ,IL    ,LOT ,RDA
GOODLAND                     ,KGLD ,GOODLAND            ,KS              ,GOODLAND                 ,KS    ,GLD ,RDA
GRAND ISLAND                 ,KUEX ,BLUE HILL           ,NE              ,HASTINGS                 ,NE    ,GID ,RDA
GRAND JUNCTION               ,KGJX ,GRAND JUNCTION      ,CO              ,GRAND JUNCTION           ,CO    ,GJT ,RDA
GRAND RAPIDS                 ,KGRR ,GRAND RAPIDS        ,MI              ,GRAND RAPIDS             ,MI    ,GRR ,RDA
FARGO/GRAND FORKS            ,KMVX ,GRAND FORKS         ,ND              ,FARGO/GRAND FORKS        ,ND    ,FGF ,RDA
GREEN BAY                    ,KGRB ,GREEN BAY           ,WI              ,GREEN BAY                ,WI    ,GRB ,RDA
INDIANAPOLIS                 ,KIND ,INDIANAPOLIS        ,IN              ,INDIANAPOLIS             ,IN    ,IND ,RDA
JACKSON KY                   ,KJKL ,JACKSON             ,KY              ,JACKSON                  ,KY    ,JKL ,RDA
LA CROSSE                    ,KARX ,LA CROSSE           ,WI              ,LA CROSSE                ,WI    ,ARX ,RDA
LINCOLN                      ,KILX ,LINCOLN             ,IL              ,LINCOLN/CENTRAL ILLINOIS ,IL    ,ILX ,RDA
LOUISVILLE                   ,KLVX ,FORT KNOX           ,KY              ,LOUISVILLE               ,KY    ,LMK ,RDA
MARQUETTE                    ,KMQT ,NEGAUNEE            ,MI              ,MARQUETTE                ,MQT   ,RDA
MILWAUKEE                    ,KMKX ,DOUSMAN             ,WI              ,MILWAUKEE                ,WI    ,MKX ,RDA
MINNEAPOLIS                  ,KMPX ,CHANHASSEN          ,MN              ,MINNEAPOLIS              ,MN    ,MPX ,RDA
NCL MICHIGAN                 ,KAPX ,GAYLORD             ,MI              ,GAYLORD/ALPENA           ,MI    ,APX ,RDA
NORTH PLATTE                 ,KLNX ,NORTH PLATTE        ,NE              ,NORTH PLATTE             ,NE    ,LBF ,RDA
NORTHERN INDIANA             ,KIWX ,NORTH WEBSTER       ,IN              ,N. WEBSTER/NORTHERN      ,IN    ,IWX ,RDA
OMAHA                        ,KOAX ,VALLEY              ,NE              ,OMAHA                    ,NE    ,OAX ,RDA
PADUCAH                      ,KPAH ,PADUCAH             ,KY              ,PADUCAH                  ,KY    ,PAH ,RDA
PLEASANT HILL                ,KEAX ,PLEASANT HILL       ,MO              ,PLEASANT HILL            ,MO    ,EAX ,RDA
PUEBLO                       ,KPUX ,PUEBLO              ,CO              ,PUEBLO                   ,CO    ,PUB ,RDA
QUAD CITIES                  ,KDVN ,DAVENPORT           ,IA              ,QUAD CITIES              ,IA    ,DVN ,RDA
RAPID CITY                   ,KUDX ,NEW UNDERWOOD       ,SD              ,RAPID CITY               ,SD    ,UNR ,RDA
RIVERTON/LANDER              ,KRIW ,RIVERTON            ,WY              ,RIVERTON                 ,WY    ,RIW ,RDA
SPRINGFIELD                  ,KSGF ,SPRINGFIELD         ,MO              ,SPRINGFIELD              ,MO    ,SGF ,RDA
ST LOUIS                     ,KLSX ,WELDON SPRING       ,MO              ,ST. LOUIS                ,MO    ,LSX ,RDA
SIOUX FALLS                  ,KFSD ,SIOUX FALLS         ,SD              ,SIOUX FALLS              ,IA    ,FSD ,RDA
TOPEKA                       ,KTWX ,TOPEKA              ,KS              ,TOPEKA                   ,KS    ,TOP ,RDA
WICHITA                      ,KICT ,WICHITA             ,KS              ,WICHITA                  ,KS    ,ICT ,RDA
EVANSVILLE IN                ,KVWX ,OWENSVILLE          ,IN              ,PADUCAH                  ,KY    ,VWX ,RDA
WILMINGTON                   ,KLTX ,SHALLOTTE           ,NC              ,WILMINGTON               ,NC    ,ILM ,RDA
STATE COLLEGE                ,KCCX ,STATE COLLEGE       ,PA              ,STATE COLLEGE/CENTRAL    ,PA    ,CTP ,RDA
STERLING                     ,KLWX ,STERLING            ,VA              ,STERLING                 ,VA    ,LWX ,RDA
ROANOKE                      ,KFCX ,ROANOKE             ,VA              ,BLACKSBURG/ROANOKE       ,VA    ,RNK ,RDA
RALEIGH/DURHAM               ,KRAX ,CLAYTON             ,NC              ,RALEIGH/DURHAM           ,NC    ,RAH ,RDA
PORTLAND ME                  ,KGYX ,GRAY                ,ME              ,PORTLAND                 ,ME    ,GYX ,RDA
PHILADELPHIA                 ,KDIX ,FORT DIX            ,NJ              ,MT HOLLY/PHILADELPHIA    ,PA    ,PHI ,RDA
PITTSBURGH                   ,KPBZ ,CORAOPOLIS          ,PA              ,PITTSBURGH               ,PA    ,PBZ ,RDA
NORFOLK                      ,KAKQ ,WAKEFIELD           ,VA              ,WAKEFIELD                ,VA    ,AKQ ,RDA
MOREHEAD CITY                ,KMHX ,NEWPORT             ,NC              ,MOREHEAD CITY            ,NC    ,MHX ,RDA
GREER                        ,KGSP ,GREER               ,SC              ,GREER/GREENVILLE/SPRTBG  ,SC    ,GSP ,RDA
CINCINNATI                   ,KILN ,WILMINGTON          ,OH              ,WILMINGTON/CINCINNATI    ,OH    ,ILN ,RDA
CLEVELAND                    ,KCLE ,CLEVELAND           ,OH              ,CLEVELAND                ,OH    ,CLE ,RDA
COLUMBIA                     ,KCAE ,WEST COLUMBIA       ,SC              ,COLUMBIA                 ,SC    ,CAE ,RDA
BINGHAMTON                   ,KBGM ,BINGHAMTON          ,NY              ,BINGHAMTON               ,NY    ,BGM ,RDA
ALBANY                       ,KENX ,EAST BERNE          ,NY              ,ALBANY                   ,NY    ,ALY ,RDA
BUFFALO                      ,KBUF ,BUFFALO             ,NY              ,BUFFALO                  ,NY    ,BUF ,RDA
BURLINGTON                   ,KCXX ,COLCHESTER          ,VT              ,BURLINGTON               ,VT    ,BTV ,RDA
CARIBOU                      ,KCBW ,HOULTON             ,ME              ,CARIBOU                  ,ME    ,CAR ,RDA
BOSTON                       ,KBOX ,TAUNTON             ,MA              ,BOSTON /TAUNTON          ,MA    ,BOX ,RDA
BROOKHAVEN                   ,KOKX ,UPTON               ,NY              ,NEW YORK CITY            ,NY    ,OKX ,RDA
CHARLESTON SC                ,KCLX ,GRAYS               ,SC              ,CHARLESTON               ,SC    ,CHS ,RDA
CHARLESTON WV                ,KRLX ,CHARLESTON          ,WV              ,CHARLESTON               ,WV    ,RLX ,RDA
BROWNSVILLE                  ,KBRO ,BROWNSVILLE         ,TX              ,BROWNSVILLE              ,TX    ,BRO ,RDA
ALBUQUERQUE                  ,KABX ,ALBUQUERQUE         ,NM              ,ALBUQUERQUE              ,NM    ,ABQ ,RDA
AMARILLO                     ,KAMA ,AMARILLO            ,TX              ,AMARILLO                 ,TX    ,AMA ,RDA
ATLANTA                      ,KFFC ,PEACHTREE CITY      ,GA              ,PEACHTREE CITY/ATLANTA   ,GA    ,FFC ,RDA
AUSTIN/SAN ANTONIO           ,KEWX ,NEW BRAUNFELS       ,TX              ,SAN ANTONIO              ,TX    ,EWX ,RDA
BIRMINGHAM                   ,KBMX ,ALABASTER           ,AL              ,BIRMINGHAM               ,AL    ,BMX ,RDA
CORPUS CHRISTI               ,KCRP ,CORPUS CHRISTI      ,TX              ,CORPUS CHRISTI           ,TX    ,CRP ,RDA
DALLAS/FT WORTH              ,KFWS ,FORT WORTH          ,TX              ,DALLAS / FT. WORTH       ,TX    ,FWD ,RDA
EL PASO                      ,KEPZ ,SANTA TERESA        ,NM              ,EL PASO                  ,TX    ,EPZ ,RDA
HOUSTON                      ,KHGX ,DICKINSON           ,TX              ,HOUSTON/ GALVESTON       ,TX    ,HGX ,RDA
JACKSONVILLE                 ,KJAX ,JACKSONVILLE        ,FL              ,JACKSONVILLE             ,FL    ,JAX ,RDA
KEY WEST                     ,KBYX ,BOCA CHICA KEY      ,FL              ,KEY WEST                 ,FL    ,KEY ,RDA
KNOXVILLE                    ,KMRX ,MORRISTOWN          ,TN              ,MORRISTOWN/KNOXVILLE     ,TN    ,MRX ,RDA
LUBBOCK                      ,KLBB ,LUBBOCK             ,TX              ,LUBBOCK                  ,TX    ,LUB ,RDA
LITTLE ROCK                  ,KLZK ,NORTH LITTLE ROCK   ,AR              ,LITTLE ROCK              ,AR    ,LZK ,RDA
LAKE CHARLES                 ,KLCH ,LAKE CHARLES        ,LA              ,LAKE CHARLES             ,LA    ,LCH ,RDA
NASHVILLE                    ,KOHX ,OLD HICKORY         ,TN              ,NASHVILLE                ,TN    ,OHX ,RDA
MELBOURNE                    ,KMLB ,MELBOURNE           ,FL              ,MELBOURNE                ,FL    ,MLB ,RDA
MEMPHIS                      ,KNQA ,MILLINGTON          ,TN              ,MEMPHIS                  ,TN    ,MEG ,RDA
MIAMI                        ,KAMX ,MIAMI               ,FL              ,MIAMI                    ,FL    ,MFL ,RDA
MIDLAND/ODESSA               ,KMAF ,MIDLAND             ,TX              ,MIDLAND/ODESSA           ,TX    ,MAF ,RDA
NORMAN                       ,KTLX ,OKLAHOMA CITY       ,OK              ,NORMAN                   ,OK    ,OUN ,RDA
NORTHEAST ALABAMA            ,KHTX ,HYTOP               ,AL              ,HUNTSVILLE               ,AL    ,HUN ,RDA
MOBILE                       ,KMOB ,MOBILE              ,AL              ,MOBILE                   ,AL    ,MOB ,RDA
TALLAHASSEE                  ,KTLH ,TALLAHASSEE         ,FL              ,TALLAHASSEE              ,FL    ,TAE ,RDA
TAMPA                        ,KTBW ,RUSKIN              ,FL              ,TAMPA BAY AREA           ,FL    ,TBW ,RDA
SAN ANGELO                   ,KSJT ,SAN ANGELO          ,TX              ,SAN ANGELO               ,TX    ,SJT ,RDA
TULSA                        ,KINX ,INOLA               ,OK              ,TULSA                    ,OK    ,TSA ,RDA
WESTERN ARKANSAS             ,KSRX ,CHAFFEE RIDGE       ,AR              ,TULSA                    ,OK    ,TSA ,RDA
SLIDELL                      ,KLIX ,SLIDELL             ,LA              ,NEW ORLEANS/SLIDELL      ,LA    ,LIX ,RDA
JACKSON/BRANDON MS           ,KDGX ,BRANDON             ,MS              ,JACKSON                  ,MS    ,JAN ,RDA
SHREVEPORT                   ,KSHV ,SHREVEPORT          ,LA              ,SHREVEPORT               ,LA    ,SHV ,RDA
LANGLEY HILL (NW WASHINGTON) ,KLGX ,LANGLEY HILL        ,WA              ,SEATTLE / TACOMA         ,WA    ,SEW ,RDA
SPOKANE                      ,KOTX ,SPOKANE             ,WA              ,SPOKANE                  ,WA    ,OTX ,RDA
TUCSON                       ,KEMX ,TUCSON              ,AZ              ,TUCSON                   ,AZ    ,TWC ,RDA
YUMA                         ,KYUX ,YUMA                ,AZ              ,PHOENIX                  ,AZ    ,PSR ,RDA
SAN DIEGO                    ,KNKX ,SAN DIEGO           ,CA              ,SAN DIEGO                ,CA    ,SGX ,RDA
SAN FRANCISCO                ,KMUX ,LOS GATOS           ,CA              ,MONTEREY/SAN FRANCISCO   ,CA    ,MTR ,RDA
SAN JOAQUIN VALY             ,KHNX ,HANFORD             ,CA              ,SAN JOAQUIN/HANFORD      ,CA    ,HNX ,RDA
SANTA ANA MTS                ,KSOX ,SANTA ANA MOUNTAINS ,CA              ,SAN DIEGO                ,CA    ,SGX ,RDA
SEATTLE                      ,KATX ,EVERETT             ,WA              ,SEATTLE / TACOMA         ,WA    ,SEW ,RDA
PHOENIX                      ,KIWA ,PHOENIX             ,AZ              ,PHOENIX                  ,AZ    ,PSR ,RDA
PORTLAND OR                  ,KRTX ,PORTLAND            ,OR              ,PORTLAND                 ,OR    ,PQR ,RDA
POCATELLO                    ,KSFX ,SPRINGFIELD         ,ID              ,POCATELLO                ,ID    ,PIH ,RDA
RENO                         ,KRGX ,NIXON               ,NV              ,RENO                     ,NV    ,REV ,RDA
SACRAMENTO                   ,KDAX ,DAVIS               ,CA              ,SACRAMENTO               ,CA    ,STO ,RDA
SALT LAKE CITY               ,KMTX ,SALT LAKE CITY      ,UT              ,SALT LAKE CITY           ,UT    ,SLC ,RDA
PENDLETON                    ,KPDT ,PENDLETON           ,OR              ,PENDLETON                ,OR    ,PDT ,RDA
MISSOULA                     ,KMSX ,MISSOULA            ,MT              ,MISSOULA                 ,MT    ,MSO ,RDA
LAS VEGAS                    ,KESX ,LAS VEGAS           ,NV              ,LAS VEGAS                ,NV    ,VEF ,RDA
LOS ANGELES                  ,KVTX ,LOS ANGELES         ,CA              ,LOS ANGELES              ,CA    ,LOX ,RDA
MEDFORD                      ,KMAX ,MEDFORD             ,OR              ,MEDFORD                  ,OR    ,MFR ,RDA
FLAGSTAFF                    ,KFSX ,FLAGSTAFF           ,AZ              ,FLAGSTAFF                ,AZ    ,FGZ ,RDA
GLASGOW                      ,KGGW ,GLASGOW             ,MT              ,GLASGOW                  ,MT    ,GGW ,RDA
ELKO                         ,KLRX ,ELKO                ,NV              ,ELKO                     ,NV    ,LKN ,RDA
EUREKA (BUNKER HILL)         ,KBHX ,EUREKA              ,CA              ,EUREKA                   ,CA    ,EKA ,RDA
GREAT FALLS                  ,KTFX ,GREAT FALLS         ,MT              ,GREAT FALLS              ,MT    ,TFX ,RDA
BOISE                        ,KCBX ,BOISE               ,ID              ,BOISE                    ,ID    ,BOI ,RDA
BILLINGS                     ,KBLX ,BILLINGS            ,MT              ,BILLINGS                 ,MT    ,BYZ ,RDA
CEDAR CITY                   ,KICX ,CEDAR CITY          ,UT              ,SALT LAKE CITY           ,UT    ,SLC ,RDA